Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000813,549.853.320-91,Camila Rocha,2024-06-12,BRL,286123.0,Depósito,Pendente,Alimentação,C6 Bank,12,288.99,286411.99
FIN000018,271.717.947-39,Rafael Macedo,2022-06-16,BRL,286123.0,Transferência,Aprovada,Alimentação,XP,12,219.7,286342.7
FIN000573,282.354.547-70,Rafael Macedo,2023-11-05,BRL,67613.0,Depósito,Aprovada,Tecnologia,Banco do Brasil,2,127.4,67740.4
FIN000226,481.320.692-81,Leticia Moura,2022-12-23,BRL,100917.0,Depósito,Aprovada,Vestuário,C6 Bank,6,196.94,101113.94
FIN000917,341.938.246-47,Guilherme Mota,2024-09-15,BRL,286123.0,PIX,Aprovada,Investimento,C6 Bank,1,184.73,286307.73
FIN000300,860.840.617-11,Leticia Moura,2023-03-01,BRL,286123.0,Transferência,Pendente,Tecnologia,BTG,24,539.29,286662.29
FIN000919,476.693.931-46,Guilherme Mota,2024-09-16,BRL,286123.0,PIX,Aprovada,Vestuário,XP,6,322.28,286445.28
FIN000506,939.474.176-87,Camila Rocha,2023-09-05,BRL,286123.0,Depósito,Aprovada,Tecnologia,Inter,6,247.0,286370.0
FIN000568,186.884.435-66,Camila Rocha,2023-11-01,BRL,75736.0,Depósito,,Tecnologia,BTG,24,10.98,75746.98
FIN000391,450.902.496-13,Leticia Moura,2023-05-23,BRL,235874.0,Depósito,Recusada,,XP,2,53.52,235927.52
FIN000750,713.946.108-51,Natalia Correia,2024-04-15,BRL,634718.0,Depósito,Pendente,Tecnologia,C6 Bank,3,63.85,634781.85
FIN000500,656.832.809-88,Beatriz Lopes,2023-08-31,BRL,286123.0,Transferência,Recusada,Alimentação,BTG,6,668.38,286791.38
FIN000679,942.274.891-14,Felipe Andrade,2024-02-10,BRL,62559.0,Transferência,Recusada,Vestuário,XP,24,59.09,62618.09
FIN000713,550.468.552-37,Rafael Macedo,2024-03-12,BRL,26942.0,Depósito,Pendente,Alimentação,Banco do Brasil,6,5.92,26947.92
FIN000499,714.237.308-11,Thiago Cavalcanti,2023-08-30,BRL,286123.0,Saque,Pendente,Moradia,BTG,12,465.85,286588.85
FIN000636,956.650.887-78,Henrique Pinto,2024-01-02,BRL,9978.05,Depósito,Recusada,Alimentação,XP,3,225.81,10203.859999999999
FIN000019,781.416.955-78,Henrique Pinto,2022-06-17,BRL,238565.0,Depósito,Aprovada,Tecnologia,Inter,6,25.54,238590.54
FIN000965,469.530.260-35,Priscila Gomes,2024-10-29,BRL,286123.0,Depósito,Recusada,Vestuário,C6 Bank,1,270.26,286393.26
FIN000035,422.344.163-41,Juliana Queiroz,2022-07-02,BRL,591434.0,Pagamento,Recusada,Viagem,Banco do Brasil,1,229.26,591663.26
FIN000918,493.842.956-53,Rafael Macedo,2024-09-16,BRL,367103.0,Transferência,Aprovada,Investimento,C6 Bank,12,55.08,367158.08
FIN000033,161.240.394-93,Leonardo Braga,2022-06-30,BRL,286123.0,Depósito,Pendente,Viagem,Inter,1,318.38,286441.38
FIN000054,494.713.148-64,Thiago Cavalcanti,2022-07-19,BRL,286123.0,Depósito,Pendente,Investimento,Banco do Brasil,2,484.05,286607.05
FIN000215,177.723.794-87,Carolina Azevedo,2022-12-13,BRL,388094.0,Depósito,Pendente,Vestuário,Inter,24,76.86,388170.86
FIN000044,631.138.832-37,Isabela Nunes,2022-07-10,BRL,286123.0,Depósito,Pendente,Vestuário,C6 Bank,12,212.61,286335.61
FIN000640,848.713.307-98,Andre Monteiro,2024-01-05,BRL,286123.0,Depósito,Pendente,Viagem,BTG,12,295.92,286418.92
FIN000775,945.217.695-81,Rafael Macedo,2024-05-08,BRL,286123.0,Depósito,Recusada,Alimentação,C6 Bank,1,227.14,286350.14
FIN000237,697.656.801-87,Priscila Gomes,2023-01-02,BRL,124092.0,Transferência,Aprovada,Alimentação,Inter,1,95.96,124187.96
FIN000897,503.952.794-48,Andre Monteiro,2024-08-27,BRL,286123.0,Depósito,Recusada,Viagem,Banco do Brasil,24,351.09,286474.09
FIN000465,873.207.742-96,Camila Rocha,2023-07-30,BRL,558945.0,Depósito,Recusada,Vestuário,Banco do Brasil,3,108.03,559053.03
FIN000999,274.606.792-93,Beatriz Lopes,2024-11-29,BRL,200085.0,Pagamento,,Alimentação,Inter,3,239.56,200324.56
FIN000972,177.532.198-94,Rafael Macedo,2024-11-04,BRL,286123.0,Saque,Recusada,Moradia,Inter,6,340.18,286463.18
FIN000079,995.640.228-77,Felipe Andrade,2022-08-11,BRL,387031.0,Depósito,Recusada,Alimentação,XP,1,20.12,387051.12
FIN000306,544.640.522-76,Thiago Cavalcanti,2023-03-06,BRL,616126.0,Saque,Aprovada,Vestuário,C6 Bank,6,90.3,616216.3
FIN000613,987.359.333-30,Leticia Moura,2023-12-12,BRL,286123.0,Depósito,Recusada,Alimentação,XP,24,272.02,286395.02
FIN000043,557.332.870-46,Andre Monteiro,2022-07-09,BRL,286123.0,PIX,Recusada,Moradia,Inter,12,133.95,286256.95
FIN000934,561.204.705-74,Thiago Cavalcanti,2024-09-30,BRL,286123.0,Saque,Aprovada,Viagem,C6 Bank,2,154.42,286277.42
FIN000016,703.447.790-44,Leonardo Braga,2022-06-14,BRL,9916.58,Depósito,Aprovada,Tecnologia,BTG,2,191.66,10108.24
FIN000575,728.297.374-80,Rafael Macedo,2023-11-07,BRL,943917.0,Saque,Pendente,Investimento,C6 Bank,6,119.97,944036.97
FIN000028,486.375.609-32,Carolina Azevedo,2022-06-25,BRL,242478.0,Pagamento,Recusada,Tecnologia,Banco do Brasil,24,63.61,242541.61
FIN000301,231.672.258-63,Andre Monteiro,2023-03-02,BRL,80580.0,Saque,Pendente,Alimentação,XP,24,100.72,80680.72
FIN000358,879.539.570-36,Thiago Cavalcanti,2023-04-23,BRL,286123.0,Saque,Aprovada,Tecnologia,XP,3,327.05,286450.05
FIN000530,328.947.359-16,Rodrigo Farias,2023-09-27,BRL,286123.0,Saque,Aprovada,Tecnologia,Inter,24,390.68,286513.68
FIN000026,271.962.766-10,Priscila Gomes,2022-06-23,BRL,557836.0,PIX,Pendente,Vestuário,Inter,12,46.46,557882.46
FIN000417,793.971.361-85,Thiago Cavalcanti,2023-06-16,BRL,151168.0,Saque,Pendente,Vestuário,BTG,24,39.58,151207.58
FIN000570,143.775.948-69,Carolina Azevedo,2023-11-03,BRL,2195.0,Pagamento,Aprovada,Investimento,XP,6,5.73,2200.73
FIN000975,485.559.252-67,Beatriz Lopes,2024-07-11,BRL,286123.0,Saque,Pendente,Investimento,C6 Bank,3,320.01,286443.01
FIN000031,772.163.258-14,Vanessa Coelho,2022-06-28,BRL,364309.0,Transferência,Recusada,Moradia,C6 Bank,12,86.92,364395.92
FIN000822,333.659.676-86,Andre Monteiro,2024-06-20,BRL,286123.0,Depósito,Pendente,Investimento,C6 Bank,2,470.84,286593.84
FIN000986,482.799.203-96,Leticia Moura,2024-11-17,BRL,342972.0,Saque,Aprovada,Tecnologia,Inter,1,18.75,342990.75
FIN000859,725.925.558-95,Leonardo Braga,2024-07-24,BRL,286123.0,Depósito,Pendente,Viagem,Inter,2,115.63,286238.63
FIN000495,979.141.162-16,Leticia Moura,2023-08-26,BRL,124977.0,Transferência,Pendente,Viagem,Inter,24,12.01,124989.01
FIN000479,782.599.745-78,Beatriz Lopes,2023-08-11,BRL,286123.0,Transferência,Pendente,Alimentação,BTG,6,170.08,286293.08
FIN000772,784.838.970-76,Natalia Correia,2024-05-05,BRL,286123.0,PIX,Aprovada,Investimento,C6 Bank,3,467.74,286590.74
FIN000267,485.946.416-86,Carolina Azevedo,2023-01-30,BRL,578195.0,Transferência,Recusada,Moradia,XP,12,112.55,578307.55
FIN000135,790.323.195-66,Diego Peixoto,2022-10-01,BRL,196838.0,Pagamento,Aprovada,Tecnologia,XP,3,24.31,196862.31
FIN000106,859.598.103-88,Leonardo Braga,2022-09-04,BRL,271025.0,PIX,Recusada,Tecnologia,C6 Bank,12,70.73,271095.73
FIN000008,448.290.824-96,Leticia Moura,2022-06-07,BRL,121506.0,Depósito,Recusada,Investimento,XP,1,34.87,121540.87
FIN000855,705.123.959-38,Rafael Macedo,2024-07-20,BRL,286123.0,Saque,Recusada,Alimentação,C6 Bank,3,155.94,286278.94
FIN000126,700.542.703-87,Marcelo Teixeira,2022-09-23,BRL,286123.0,PIX,Pendente,Vestuário,Banco do Brasil,6,375.88,286498.88
FIN000344,452.983.162-53,Diego Peixoto,2023-04-10,BRL,286123.0,Transferência,Aprovada,Investimento,Banco do Brasil,12,229.26,286352.26
FIN000284,214.155.501-44,Leonardo Braga,2023-02-14,BRL,286123.0,Depósito,,Viagem,Banco do Brasil,6,414.3,286537.3
FIN000373,565.220.558-84,Rafael Macedo,2023-05-06,BRL,18215.71,Pagamento,Aprovada,Viagem,XP,24,319.08,18534.79
FIN000837,720.329.649-95,Diego Peixoto,2024-07-04,BRL,775062.0,Depósito,Recusada,Moradia,Inter,12,154.39,775216.39
FIN000376,994.234.815-94,Thiago Cavalcanti,2023-05-09,BRL,945609.0,Saque,Pendente,Vestuário,Inter,24,223.53,945832.53
FIN000892,747.291.229-20,Leticia Moura,2024-08-23,BRL,409565.0,Pagamento,Aprovada,Viagem,Banco do Brasil,2,50.06,409615.06
FIN000200,935.907.559-25,Henrique Pinto,2022-11-29,BRL,909242.0,Depósito,Aprovada,Tecnologia,Banco do Brasil,12,171.42,909413.42
FIN000579,982.618.831-52,Camila Rocha,2023-11-11,BRL,75512.0,PIX,Recusada,Tecnologia,XP,3,7.76,75519.76
FIN000120,929.208.185-18,Juliana Queiroz,2022-09-17,BRL,505645.0,Depósito,Pendente,Vestuário,Inter,2,135.76,505780.76
FIN000503,436.466.454-70,Henrique Pinto,2023-09-02,BRL,286123.0,Transferência,Aprovada,Vestuário,C6 Bank,12,187.73,286310.73
FIN000823,103.590.408-92,Priscila Gomes,2024-06-21,BRL,286123.0,Transferência,Pendente,Viagem,C6 Bank,6,600.39,286723.39
FIN000212,353.859.961-84,Diego Peixoto,2022-12-10,BRL,286123.0,PIX,Recusada,Alimentação,BTG,2,276.65,286399.65
FIN000698,260.702.143-50,Thiago Cavalcanti,2024-02-27,BRL,286123.0,Depósito,Aprovada,Alimentação,XP,3,252.91,286375.91
FIN000988,903.562.911-21,Natalia Correia,2024-11-19,BRL,286123.0,Transferência,Aprovada,Investimento,C6 Bank,24,487.89,286610.89
FIN000835,864.192.145-36,Leonardo Braga,2024-07-02,BRL,286123.0,Saque,Aprovada,Alimentação,XP,24,167.7,286290.7
FIN000958,522.717.239-42,Andre Monteiro,2024-10-22,BRL,286123.0,Pagamento,Recusada,Viagem,C6 Bank,3,343.05,286466.05
FIN000682,948.831.397-52,Leonardo Braga,2024-02-13,BRL,400042.0,Depósito,Recusada,Investimento,Inter,24,85.01,400127.01
FIN000320,827.292.596-54,Rodrigo Farias,2023-03-19,BRL,191713.0,Saque,Recusada,Viagem,Banco do Brasil,1,28.3,191741.3
FIN000873,126.998.427-90,Amanda Vieira,2024-08-05,BRL,286123.0,Depósito,Recusada,Alimentação,XP,24,210.42,286333.42
FIN000259,428.561.724-65,Natalia Correia,2023-01-22,BRL,286123.0,PIX,Recusada,Viagem,Inter,1,141.81,286264.81
FIN000272,161.906.595-10,Amanda Vieira,2023-02-03,BRL,735626.0,Pagamento,Pendente,Vestuário,Inter,24,87.86,735713.86
FIN000884,585.223.879-22,Priscila Gomes,2024-08-15,BRL,286123.0,Depósito,Aprovada,Investimento,XP,1,358.73,286481.73
FIN000102,947.124.913-75,Leticia Moura,2022-09-01,BRL,19768.78,Pagamento,Aprovada,Moradia,C6 Bank,24,225.45,19994.23
FIN000513,747.244.954-97,Rafael Macedo,2023-09-11,BRL,499491.0,Transferência,Pendente,Moradia,Banco do Brasil,12,109.39,499600.39
FIN000501,173.328.813-63,Guilherme Mota,2023-08-31,BRL,286123.0,Pagamento,Recusada,Vestuário,BTG,1,390.23,286513.23
FIN000979,595.472.774-50,Rafael Macedo,2024-10-11,BRL,335768.0,Depósito,Pendente,Viagem,BTG,12,90.51,335858.51
FIN000533,138.197.980-33,Henrique Pinto,2023-09-30,BRL,286123.0,Transferência,Pendente,Vestuário,Banco do Brasil,1,328.37,286451.37
FIN000949,217.603.731-90,Priscila Gomes,2024-10-14,BRL,186235.0,PIX,Pendente,Vestuário,,12,249.92,186484.92
FIN000829,857.784.775-11,Felipe Andrade,2024-06-26,BRL,286123.0,Transferência,Pendente,Moradia,BTG,2,164.36,286287.36
FIN000387,900.152.921-77,Camila Rocha,2023-05-19,BRL,286123.0,Pagamento,Recusada,Vestuário,,1,385.29,286508.29
FIN000681,908.681.134-35,Natalia Correia,2024-02-12,BRL,544825.0,Transferência,Pendente,Viagem,Inter,1,154.07,544979.07
FIN000877,273.602.205-46,Thiago Cavalcanti,2024-08-09,BRL,286123.0,Pagamento,Recusada,Moradia,C6 Bank,6,238.42,286361.42
FIN000175,450.633.545-58,Beatriz Lopes,2022-11-07,BRL,609655.0,Depósito,Aprovada,Investimento,Inter,12,76.29,609731.29
FIN000516,181.398.507-73,Andre Monteiro,2023-09-14,BRL,286123.0,PIX,Aprovada,,Inter,3,159.5,286282.5
FIN000954,329.722.591-81,Leonardo Braga,2024-10-18,BRL,286123.0,Saque,Recusada,Tecnologia,XP,2,401.16,286524.16
FIN000333,171.964.484-36,Thiago Cavalcanti,2023-03-31,BRL,106347.0,Pagamento,Aprovada,Moradia,XP,1,73.07,106420.07
FIN000379,592.108.629-33,Felipe Andrade,2023-05-12,BRL,21197.42,Depósito,Aprovada,Moradia,C6 Bank,24,128.53,21325.949999999997
FIN000836,849.887.776-88,Leticia Moura,2024-07-03,BRL,286123.0,Saque,Pendente,Moradia,XP,12,286.51,286409.51
FIN000517,818.907.205-95,Natalia Correia,2023-09-15,BRL,286123.0,Transferência,Aprovada,Investimento,Banco do Brasil,1,626.0,286749.0
FIN000807,245.239.796-71,Camila Rocha,2024-06-06,BRL,371125.0,Transferência,Recusada,Viagem,XP,1,87.04,371212.04
FIN000374,725.961.889-48,Vanessa Coelho,2023-05-07,BRL,286123.0,Pagamento,Aprovada,Viagem,Banco do Brasil,2,203.16,286326.16
FIN000731,130.805.238-77,Thiago Cavalcanti,2024-03-29,BRL,774011.0,Depósito,Aprovada,Moradia,Inter,6,70.71,774081.71
FIN000660,697.744.345-80,Diego Peixoto,2024-01-24,BRL,286123.0,Saque,Aprovada,Tecnologia,BTG,24,317.75,286440.75
FIN000371,139.959.368-28,Diego Peixoto,2023-05-05,BRL,14030.49,Depósito,Recusada,Tecnologia,C6 Bank,6,195.63,14226.119999999999
FIN000370,174.460.370-18,Camila Rocha,2023-05-04,BRL,286123.0,PIX,Recusada,Viagem,C6 Bank,12,303.24,286426.24
FIN000186,Não Informado,Andre Monteiro,2022-11-17,BRL,100819.0,PIX,Pendente,Investimento,Inter,6,27.26,100846.26
FIN000467,311.570.516-98,Vanessa Coelho,2023-07-31,BRL,286123.0,PIX,Recusada,Tecnologia,BTG,24,304.68,286427.68
FIN000832,846.410.928-44,Carolina Azevedo,2024-06-29,BRL,286123.0,PIX,Recusada,Investimento,Inter,2,381.98,286504.98
FIN000711,334.821.348-38,Leticia Moura,2024-03-10,BRL,286123.0,Depósito,Recusada,Tecnologia,XP,1,551.03,286674.03
FIN000540,473.748.753-88,Camila Rocha,2023-10-06,BRL,286123.0,Depósito,Aprovada,Viagem,XP,24,94.68,286217.68
FIN000675,390.108.622-69,Diego Peixoto,2024-02-06,BRL,286123.0,Depósito,Recusada,Tecnologia,XP,1,638.46,286761.46
FIN001000,861.780.844-66,Vanessa Coelho,2024-11-30,BRL,286123.0,Depósito,Aprovada,Tecnologia,Inter,2,322.15,286445.15
FIN000955,853.753.984-73,Henrique Pinto,2024-10-19,BRL,286123.0,Transferência,Recusada,Moradia,C6 Bank,12,170.77,286293.77
FIN000921,202.505.377-32,Isabela Nunes,2024-09-18,BRL,286123.0,Pagamento,Aprovada,Tecnologia,Inter,3,652.35,286775.35
FIN000548,684.326.169-43,Leonardo Braga,2023-10-13,BRL,286123.0,Pagamento,,Investimento,C6 Bank,6,285.37,286408.37
FIN000793,631.971.821-50,Vanessa Coelho,2024-05-24,BRL,335341.0,Pagamento,Recusada,Viagem,C6 Bank,24,68.03,335409.03
FIN000704,851.844.953-66,Andre Monteiro,2024-03-04,BRL,286123.0,PIX,Aprovada,Moradia,C6 Bank,1,296.06,286419.06
FIN000789,205.320.198-32,Isabela Nunes,2024-05-21,BRL,286123.0,Transferência,Aprovada,Alimentação,C6 Bank,6,167.45,286290.45
FIN000561,551.341.409-15,Carolina Azevedo,2023-10-25,BRL,558955.0,PIX,Aprovada,Alimentação,Banco do Brasil,24,32.83,558987.83
FIN000752,140.944.586-70,Camila Rocha,2024-04-17,BRL,697361.0,Depósito,Pendente,Vestuário,BTG,6,158.51,697519.51
FIN000777,250.902.835-39,Andre Monteiro,2024-05-10,BRL,286123.0,Depósito,Recusada,,BTG,3,122.28,286245.28
FIN000683,293.187.413-50,Andre Monteiro,2024-02-14,BRL,286123.0,PIX,Recusada,Moradia,Banco do Brasil,1,129.04,286252.04
FIN000136,704.984.741-62,Guilherme Mota,2022-10-02,BRL,533585.0,Pagamento,Pendente,Moradia,BTG,24,59.63,533644.63
FIN000677,249.555.450-12,Amanda Vieira,2024-02-08,BRL,286123.0,PIX,Recusada,Tecnologia,XP,3,676.79,286799.79
FIN000369,513.213.917-49,Leticia Moura,2023-05-03,BRL,286123.0,Saque,Pendente,,C6 Bank,1,666.12,286789.12
FIN000872,521.906.825-51,Natalia Correia,2024-08-05,BRL,286123.0,Saque,Aprovada,Tecnologia,C6 Bank,12,100.13,286223.13
FIN000248,475.446.371-24,Priscila Gomes,2023-01-12,BRL,10110.79,Pagamento,Pendente,Vestuário,Banco do Brasil,12,292.72,10403.51
FIN000357,945.972.482-15,Marcelo Teixeira,2023-04-22,BRL,286123.0,Depósito,Aprovada,Alimentação,BTG,3,107.55,286230.55
FIN000936,906.469.658-37,Rafael Macedo,2024-10-02,BRL,286123.0,PIX,Pendente,Viagem,Banco do Brasil,3,209.1,286332.1
FIN000615,965.447.495-58,Henrique Pinto,2023-12-14,BRL,870147.0,Pagamento,Pendente,Investimento,Banco do Brasil,12,203.43,870350.43
FIN000599,920.956.612-92,Isabela Nunes,2023-11-29,BRL,286123.0,Pagamento,,Investimento,Banco do Brasil,1,189.49,286312.49
FIN000111,864.349.823-46,Thiago Cavalcanti,2022-09-09,BRL,286123.0,Transferência,Pendente,Alimentação,Banco do Brasil,24,335.83,286458.83
FIN000577,753.488.616-62,Carolina Azevedo,2023-11-09,BRL,550104.0,PIX,Pendente,Vestuário,XP,6,70.64,550174.64
FIN000735,682.364.964-28,Leonardo Braga,2024-04-01,BRL,286123.0,Depósito,Pendente,Viagem,XP,2,93.5,286216.5
FIN000801,356.405.284-71,Marcelo Teixeira,2024-06-01,BRL,516776.4,Pagamento,Aprovada,Investimento,XP,12,26.91,516803.31
FIN000825,324.913.617-91,Henrique Pinto,2024-06-23,BRL,286123.0,PIX,Aprovada,Moradia,C6 Bank,2,396.31,286519.31
FIN000663,309.276.222-30,Leticia Moura,2024-01-27,BRL,286123.0,Transferência,Aprovada,Tecnologia,BTG,1,221.98,286344.98
FIN000147,352.583.402-68,Rafael Macedo,2022-10-12,BRL,388668.0,Transferência,Pendente,Investimento,C6 Bank,1,72.64,388740.64
FIN000398,819.989.750-71,Rafael Macedo,2023-05-29,BRL,481404.0,Saque,Aprovada,Investimento,XP,2,60.69,481464.69
FIN000861,120.255.649-61,Andre Monteiro,2024-07-25,BRL,16423.0,Pagamento,Aprovada,Alimentação,BTG,12,3.87,16426.87
FIN000973,935.632.889-94,Amanda Vieira,2024-11-05,BRL,286123.0,Pagamento,Aprovada,Moradia,Inter,12,113.78,286236.78
FIN000327,368.759.882-12,Rodrigo Farias,2023-03-25,BRL,443098.0,Depósito,Pendente,Alimentação,C6 Bank,24,80.17,443178.17
FIN000490,165.555.711-88,Marcelo Teixeira,2023-08-21,BRL,79641.0,Transferência,Aprovada,Viagem,BTG,12,187.89,79828.89
FIN000141,959.865.774-55,Guilherme Mota,2022-10-06,BRL,286123.0,Depósito,,Moradia,C6 Bank,12,244.81,286367.81
FIN000959,634.520.842-32,Priscila,2024-10-23,BRL,307077.0,Transferência,Pendente,Moradia,Banco do Brasil,24,75.88,307152.88
FIN000474,153.595.671-44,Juliana Queiroz,2023-08-07,BRL,783227.5,Pagamento,Pendente,Viagem,Banco do Brasil,24,118.65,783346.15
FIN000367,134.778.864-82,Guilherme Mota,2023-01-05,BRL,836435.0,Depósito,Recusada,Vestuário,Banco do Brasil,24,95.31,836530.31
FIN000795,831.328.740-50,Leticia Moura,2024-05-26,BRL,286123.0,Saque,Recusada,Moradia,C6 Bank,6,254.28,286377.28
FIN000347,591.714.778-62,Camila Rocha,2023-04-13,BRL,286123.0,Transferência,Recusada,Vestuário,Inter,3,156.17,286279.17
FIN000027,990.449.421-34,Thiago Cavalcanti,2022-06-24,BRL,286123.0,Pagamento,Pendente,Investimento,BTG,3,300.86,286423.86
FIN000156,297.787.375-83,Natalia Correia,2022-10-20,BRL,286123.0,Depósito,Pendente,Tecnologia,C6 Bank,3,528.45,286651.45
FIN000946,386.989.263-63,Marcelo Teixeira,2024-11-10,BRL,925794.0,Transferência,Pendente,Vestuário,C6 Bank,1,190.73,925984.73
FIN000937,344.390.454-32,Henrique Pinto,2024-10-03,BRL,286123.0,Transferência,Pendente,Vestuário,C6 Bank,1,171.45,286294.45
FIN000702,464.622.982-52,Thiago Cavalcanti,2024-03-02,BRL,1.0,Depósito,Pendente,Investimento,C6 Bank,3,363.79,364.79
FIN000769,722.243.248-73,Andre Monteiro,2024-05-02,BRL,406146.0,Depósito,Aprovada,Investimento,XP,3,46.59,406192.59
FIN000626,380.335.776-57,Diego Peixoto,2023-12-24,BRL,286123.0,PIX,Aprovada,Vestuário,BTG,12,125.93,286248.93
FIN000426,240.298.998-28,Thiago Cavalcanti,2023-06-24,BRL,286123.0,Depósito,Pendente,Moradia,C6 Bank,3,485.11,286608.11
FIN000968,427.864.169-54,Marcelo Teixeira,2024-10-31,BRL,17563.52,PIX,Recusada,Moradia,BTG,24,473.08,18036.600000000002
FIN000987,379.194.308-85,Guilherme Mota,2024-11-18,BRL,176124.0,Transferência,Aprovada,Vestuário,Banco do Brasil,6,184.27,176308.27
FIN000100,966.686.720-33,Thiago Cavalcanti,2022-08-30,BRL,286123.0,Transferência,Recusada,Moradia,Inter,3,227.37,286350.37
FIN000349,984.684.295-48,Andre Monteiro,2023-04-15,BRL,286123.0,PIX,Aprovada,Alimentação,BTG,6,103.45,286226.45
FIN000422,580.336.525-80,Rodrigo Farias,2023-06-20,BRL,286123.0,Depósito,Aprovada,Tecnologia,BTG,1,288.79,286411.79
FIN000876,903.814.711-70,Juliana Queiroz,2024-08-08,BRL,95738.0,Depósito,Recusada,Tecnologia,XP,12,58.06,95796.06
FIN000167,246.121.363-45,Beatriz Lopes,2022-10-30,BRL,286123.0,Pagamento,Pendente,Moradia,Inter,24,102.63,286225.63
FIN000345,178.257.629-41,Thiago Cavalcanti,2023-04-11,BRL,286123.0,PIX,Pendente,Moradia,Inter,2,346.67,286469.67
FIN000629,507.518.878-72,Amanda Vieira,2023-12-26,BRL,286123.0,Depósito,Pendente,Alimentação,XP,3,229.26,286352.26
FIN000024,155.957.235-80,Beatriz Lopes,2022-06-22,BRL,286123.0,Pagamento,Pendente,Tecnologia,Inter,24,290.27,286413.27
FIN000587,119.803.639-37,Diego,2023-11-18,BRL,201355.0,PIX,Aprovada,Vestuário,C6 Bank,12,41.27,201396.27
FIN000205,915.685.447-83,Rodrigo Farias,2022-12-04,BRL,286123.0,Saque,Pendente,Vestuário,BTG,1,331.41,286454.41
FIN000034,462.692.365-41,Amanda Vieira,2022-07-01,BRL,198647.0,PIX,Recusada,Viagem,Inter,3,48.43,198695.43
FIN000198,820.556.280-35,Andre Monteiro,2022-11-28,BRL,286123.0,Saque,Recusada,Tecnologia,XP,3,96.57,286219.57
FIN000758,208.555.916-87,Carolina Azevedo,2024-04-22,BRL,286123.0,Depósito,Pendente,Viagem,XP,12,121.59,286244.59
FIN000874,841.324.840-48,Juliana Queiroz,2024-08-06,BRL,901404.0,Transferência,Aprovada,Investimento,C6 Bank,2,145.87,901549.87
FIN000406,846.635.483-94,Thiago Cavalcanti,2023-06-06,BRL,409107.0,Transferência,Aprovada,Tecnologia,BTG,3,102.57,409209.57
FIN000676,209.387.834-47,Juliana Queiroz,2024-02-07,BRL,286123.0,Transferência,Recusada,Moradia,Inter,12,202.79,286325.79
FIN000098,736.649.378-81,Diego Peixoto,2022-08-28,BRL,890503.0,Pagamento,Aprovada,Vestuário,BTG,1,218.12,890721.12
FIN000562,697.370.286-94,Natalia Correia,2023-10-26,BRL,251976.0,Depósito,Pendente,Tecnologia,C6 Bank,12,66.74,252042.74
FIN000010,906.760.591-92,Natalia Correia,2022-06-09,BRL,2203.0,PIX,Pendente,Tecnologia,Banco do Brasil,12,6.23,2209.23
FIN000011,606.114.580-13,Juliana Queiroz,2022-10-06,BRL,286123.0,PIX,Aprovada,Vestuário,Inter,24,196.3,286319.3
FIN000080,699.529.878-94,Beatriz Lopes,2022-08-12,BRL,286123.0,Depósito,Aprovada,Tecnologia,Banco do Brasil,1,311.86,286434.86
FIN000729,599.121.505-16,Rafael Macedo,2024-03-27,BRL,286123.0,Pagamento,Recusada,Vestuário,XP,1,701.63,286824.63
FIN000385,198.368.561-83,Rodrigo Farias,2023-05-17,BRL,722969.0,PIX,Aprovada,Vestuário,XP,2,74.32,723043.32
FIN000119,314.682.537-48,Beatriz Lopes,2022-09-16,BRL,286123.0,Transferência,Recusada,Investimento,XP,3,64.69,286187.69
FIN000887,785.805.459-18,Leonardo Braga,2024-08-18,BRL,685084.0,Depósito,Recusada,Vestuário,Banco do Brasil,1,174.56,685258.56
FIN000235,572.708.571-39,Beatriz Lopes,2022-12-31,BRL,286123.0,Depósito,Pendente,Alimentação,C6 Bank,1,251.2,286374.2
FIN000553,788.933.550-94,Guilherme Mota,2023-10-18,BRL,443532.0,Transferência,Recusada,Investimento,Banco do Brasil,2,96.0,443628.0
FIN000819,114.488.368-13,Rafael Macedo,2024-06-17,BRL,946606.0,Pagamento,Aprovada,Vestuário,Banco do Brasil,1,193.51,946799.51
FIN000290,498.900.158-17,Andre Monteiro,2023-02-20,BRL,136533.0,Depósito,Pendente,Investimento,C6 Bank,1,349.78,136882.78
FIN000217,286.329.653-82,Diego Peixoto,2022-12-15,BRL,286123.0,Saque,Recusada,Viagem,XP,2,621.12,286744.12
FIN000050,354.189.226-19,Felipe Andrade,2022-07-15,BRL,663907.0,PIX,Pendente,Viagem,BTG,3,158.6,664065.6
FIN000537,510.772.140-88,Priscila Gomes,2023-10-03,BRL,286123.0,PIX,Pendente,Vestuário,XP,24,107.98,286230.98
FIN000466,832.264.496-23,Carolina Azevedo,2023-07-30,BRL,286123.0,Pagamento,Pendente,Moradia,C6 Bank,3,109.15,286232.15
FIN000952,212.939.624-37,Priscila Gomes,2024-10-17,BRL,286123.0,PIX,Recusada,Alimentação,Banco do Brasil,1,331.84,286454.84
FIN000690,708.462.701-31,Amanda Vieira,2024-02-20,BRL,286123.0,Depósito,Recusada,Alimentação,XP,1,222.45,286345.45
FIN000649,190.291.810-45,Camila Rocha,2024-01-14,BRL,286123.0,Saque,Recusada,Investimento,C6 Bank,24,227.83,286350.83
